                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.0861,                 0.9059,                 1.2784,                0.56106,                0.64385,                0.67453,                0.43523,                 1.3864,                0.96557,                 1.5642,              0.0007075,              0.0007075,              0.0007075
                     53,                 1.0945,                0.92613,                 1.2579,                0.54315,                0.59853,                0.66594,                0.42727,                 1.2255,                 1.0466,                 1.4622,             0.00069335,             0.00069335,             0.00069335
                     54,                 1.0662,                0.90165,                  1.259,                0.65691,                0.65874,                0.67136,                0.41022,                 1.2793,                 1.0291,                 1.4796,              0.0006792,              0.0006792,              0.0006792
                     55,                 1.1291,                 0.9436,                 1.3241,                0.81141,                0.75686,                 0.7456,                0.47157,                 1.2885,                  1.013,                 1.4558,             0.00066506,             0.00066506,             0.00066506
                     56,                 1.0928,                0.88381,                 1.3069,                0.58196,                0.63691,                0.59043,                0.36473,                 1.2724,                 1.0402,                 1.4958,             0.00065091,             0.00065091,             0.00065091
                     57,                0.99086,                0.82139,                 1.2244,                0.56523,                0.62663,                0.62132,                0.38754,                 1.1854,                0.94646,                 1.4689,             0.00063676,             0.00063676,             0.00063676
                     58,                 1.0182,                0.84973,                 1.2238,                0.58389,                0.73059,                0.59934,                0.37028,                 1.2384,                0.95262,                 1.4923,             0.00062262,             0.00062262,             0.00062262
                     59,                 1.1094,                0.88735,                 1.2967,                0.55131,                0.59001,                0.59417,                 0.3524,                 1.3549,                 1.0746,                 1.5678,             0.00060847,             0.00060847,             0.00060847
                     60,                 1.0559,                  0.872,                 1.2319,                0.55809,                0.71738,                0.65167,                0.43112,                 1.3154,                 1.0452,                 1.5439,             0.00059432,             0.00059432,             0.00059432
                     61,                 1.0495,                 0.8722,                 1.2338,                 0.6273,                0.64733,                0.64483,                 0.4089,                 1.2939,                0.97957,                 1.5485,             0.00058017,             0.00058017,             0.00058017
